DATE,ACILT100
1985-01-01,376656
1985-04-01,368610
1985-07-01,367641
1985-10-01,366589
1986-01-01,369054
1986-04-01,368845
1986-07-01,362246
1986-10-01,376463
1987-01-01,376121
1987-04-01,376699
1987-07-01,363973
1987-10-01,374455
1988-01-01,378561
1988-04-01,381030
1988-07-01,376399
1988-10-01,378666
1989-01-01,376140
1989-04-01,378477
1989-07-01,384440
1989-10-01,385870
1990-01-01,395817
1990-04-01,395027
1990-07-01,393620
1990-10-01,397360
1991-01-01,391127
1991-04-01,376601
1991-07-01,371631
1991-10-01,361765
1992-01-01,354384
1992-04-01,352699
1992-07-01,349960
1992-10-01,353835
1993-01-01,352019
1993-04-01,349809
1993-07-01,347944
1993-10-01,354944
1994-01-01,366398
1994-04-01,374339
1994-07-01,392031
1994-10-01,400603
1995-01-01,431799
1995-04-01,442540
1995-07-01,454871
1995-10-01,466813
1996-01-01,480886
1996-04-01,500762
1996-07-01,514549
1996-10-01,527050
1997-01-01,550820
1997-04-01,587962
1997-07-01,608031
1997-10-01,635143
1998-01-01,655897
1998-04-01,689333
1998-07-01,713027
1998-10-01,738513
1999-01-01,774079
1999-04-01,785749
1999-07-01,797993
1999-10-01,800835
2000-01-01,835842
2000-04-01,857096
2000-07-01,869474
2000-10-01,888752
2001-01-01,853241
2001-04-01,843242
2001-07-01,810866
2001-10-01,804888
2002-01-01,779634
2002-04-01,749246
2002-07-01,726154
2002-10-01,711446
2003-01-01,708764
2003-04-01,701150
2003-07-01,690441
2003-10-01,683295
2004-01-01,676709
2004-04-01,681090
2004-07-01,680520
2004-10-01,694288
2005-01-01,712155
2005-04-01,756636
2005-07-01,766323
2005-10-01,788718
2006-01-01,810406
2006-04-01,852947
2006-07-01,866632
2006-10-01,910256
2007-01-01,929361
2007-04-01,965479
2007-07-01,1046102
2007-10-01,1133272
2008-01-01,1153096
2008-04-01,1159365
2008-07-01,1141847
2008-10-01,1186704
2009-01-01,1141028
2009-04-01,1098071
2009-07-01,1021025
2009-10-01,957287
2010-01-01,942243
2010-04-01,900301
2010-07-01,886878
2010-10-01,905268
2011-01-01,921893
2011-04-01,957072
2011-07-01,990295
2011-10-01,1038289
2012-01-01,1098495
2012-04-01,1146150
2012-07-01,1175634
2012-10-01,1188167
2013-01-01,1197156
2013-04-01,1234963
2013-07-01,1243075
2013-10-01,1266481
2014-01-01,1294850
2014-04-01,1350495
2014-07-01,1370328
2014-10-01,1392090
2015-01-01,1432090
2015-04-01,1471819
2015-07-01,1495236
2015-10-01,1519423
2016-01-01,1554176
2016-04-01,1608444
2016-07-01,1599751
2016-10-01,1622098
2017-01-01,1629432
2017-04-01,1654470
2017-07-01,1646126
2017-10-01,1665474
2018-01-01,1683564
